id,matchId,commentateurId,heure
2,1,1,19:30:00
3,1,1,20:00:00
4,1,1,20:30:00
5,1,3,21:00:00
6,1,3,21:30:00
7,1,3,22:00:00
8,2,4,19:30:00
9,2,4,20:00:00
10,2,4,20:30:00
11,2,4,21:00:00
12,2,2,21:30:00
13,2,2,22:00:00
14,3,5,19:30:00
15,3,5,20:00:00
16,3,5,20:30:00
17,3,1,21:00:00
18,3,1,21:30:00
19,1003,1,20:00:00
20,1003,1,20:30:00
21,1003,3,21:00:00
22,2002,6,20:00:00
23,2002,6,20:30:00
24,2002,3,21:00:00
25,3002,1,20:00:00
26,3002,1,20:30:00
27,3002,1,21:00:00
1025,4002,1,20:30:00
1026,4002,1,21:00:00
1027,4002,5,21:30:00
1028,4002,5,22:00:00
1029,4003,1,20:00:00
1030,4003,1,20:30:00
1031,4003,5,21:00:00
1032,4003,5,21:30:00
1033,4004,1,20:00:00
1034,4004,1,20:30:00
1035,4004,1,21:00:00
1036,4004,1,21:30:00
1037,4005,1,20:00:00
1038,4005,1,20:30:00
1039,4005,6,21:00:00
1040,4006,7,20:00:00
1041,4007,8,21:00:00
1042,4008,1,15:00:00
1043,4009,1,20:30:00
1044,4009,1,21:00:00
1045,4009,1,21:30:00
