rencontreId,joueurId,Equipe,Home,ScoredGoals,AllowedGoals,Shots,ShotAgainst,TotalBreakaways,BreakawaysSucceeded,TotalOneTimer,OneTimerSucceeded,TotalFaceoffs,FaceoffsWon,BodyChecks
2,12,ST LOUIS,0,0,3,40,22,8,0,6,0,18,11,37
2,20,LOS ANGELES,1,3,0,22,40,3,0,19,3,18,7,25
3,15,BOSTON,1,5,3,19,19,2,0,8,4,27,10,41
3,18,PHILADELPHIA,0,3,5,19,19,4,0,8,2,27,17,56
4,1,QUEBEC,1,8,1,49,34,0,0,9,1,28,18,50
4,2,DETROIT,0,1,8,34,49,7,0,7,1,28,10,35
5,4,MONTREAL,1,3,1,33,24,3,1,10,1,19,13,32
5,6,CHICAGO,0,1,3,24,33,2,0,10,0,19,6,23
6,9,BUFFALO,1,6,9,14,22,0,0,6,2,32,11,32
6,14,VANCOUVER,0,9,6,22,14,5,0,12,3,32,21,38
7,8,CHICAGO,1,1,0,33,17,0,0,2,0,33,13,27
7,17,TAMPA BAY,0,0,1,17,33,0,0,0,0,33,20,18
8,5,VANCOUVER,0,1,5,30,28,3,0,8,0,19,6,39
8,10,NEW YORK RANGERS,1,5,1,28,30,3,0,8,2,19,13,27
9,13,TORONTO,1,2,6,24,47,3,0,9,1,34,18,40
9,19,DETROIT,0,6,2,47,24,2,0,6,1,34,16,34
10,4,MONTREAL,0,6,1,53,28,4,0,15,6,25,16,26
10,16,TAMPA BAY,1,1,6,28,53,2,0,9,1,25,9,17
11,6,CHICAGO,1,0,8,15,29,1,0,3,0,19,7,51
11,14,TORONTO,0,8,0,29,15,2,1,20,7,19,12,40
12,8,CHICAGO,1,2,9,27,31,2,0,4,0,49,19,49
12,9,BUFFALO,0,9,2,31,27,3,1,11,6,49,30,23
13,12,ST LOUIS,0,1,5,30,28,3,0,8,0,19,6,39
13,18,NEW YORK RANGERS,1,5,1,28,30,3,0,8,2,19,13,27
14,15,BOSTON,0,6,3,24,31,3,0,4,1,27,16,54
14,19,DETROIT,1,3,6,31,24,6,0,12,2,27,11,40
15,17,TAMPA BAY,1,0,6,11,29,0,0,0,0,18,9,19
15,20,LOS ANGELES,0,6,0,29,11,2,0,19,4,18,9,43
16,2,DETROIT,1,2,3,29,25,5,0,10,2,24,8,26
16,7,NEW YORK RANGERS,0,3,2,25,29,5,0,8,0,24,16,65
17,3,LOS ANGELES,1,3,13,36,37,3,0,15,1,27,19,42
17,11,DETROIT,0,13,3,37,36,8,1,14,6,27,9,28
18,13,TORONTO,1,3,2,27,23,3,0,14,1,25,12,31
18,16,TAMPA BAY,0,2,3,23,27,4,0,4,0,25,13,41
19,1,QUEBEC,0,3,2,36,30,6,0,12,2,32,14,48
19,5,VANCOUVER,1,2,3,30,36,9,0,6,1,32,14,30
20,4,MONTREAL,0,8,2,27,23,4,0,13,3,25,7,34
20,10,WINNIPEG,1,2,8,23,27,4,0,6,2,25,18,27
21,6,CHICAGO,0,1,3,17,20,3,0,10,1,22,9,31
21,9,BUFFALO,1,3,1,20,17,8,0,6,0,22,13,27
22,3,DALLAS,1,3,5,26,15,5,0,13,1,25,21,24
22,13,DALLAS,0,5,3,15,26,0,0,6,1,25,4,38
23,17,TAMPA BAY,0,0,8,13,36,2,0,0,0,24,5,12
23,18,NEW YORK RANGERS,1,8,0,36,13,6,0,16,6,24,19,39
24,1,QUEBEC,1,7,2,52,19,3,0,10,3,32,21,39
24,20,LOS ANGELES,0,2,7,19,52,3,0,11,1,32,11,25
25,2,DETROIT,1,5,2,35,19,1,0,11,2,36,13,31
25,5,ST LOUIS,0,2,5,19,35,4,0,6,1,36,23,39
26,12,ST LOUIS,1,2,4,17,19,2,0,11,1,26,12,38
26,15,BOSTON,0,4,2,19,17,3,0,5,2,26,14,40
